wo_id,remark
EBA-2500182,BUMPER DEPAN - K/.D/C/P
EBA-2500183,PINTU BAGASI - K/D/C/P
EBA-2500183,GARNISH PINTU BAGASI - K/D/C/P
EBA-2500186,"HEADLAMP ASSY,LH   BP/G"
EBA-2500189,1.
EBA-2500190,2
EBA-2500191,3
EBA-2500192,*SESUAI MERIMEN
EBA-2500194,"LAMP ASSY,TAIL,LH   BP/G"
EBA-2500196,GANTI GARNISH CHROME KANAN ATAS - BP/G
EBA-2500200,GANTI KACA DEPAN - BP/G
EBA-2500203,COVER BUMPER DEPAN - K/D/C/P
EBA-2500205,COVER BUMPER DEPAN - K/D/C/P
EBA-2500205,BUMPER DEPAN - K/D/CP
EBA-2500206,*SESUAI MERIMEN
EBA-2500210,*SESUAI MERIMEN
EBA-2500211,"OR 1,2 JT"
EBA-2500213,OR 600 RB
EBA-2500215,PINTU BAGASI - K/D/C/P
EBA-2500215,BUMPER BELAKANG - G/D/C/P
EBA-2500218,*SESUAI MERIMEN
EBA-2500219,*SESUAI MERIMEN
EBA-2500221,*SESUAI MERIMEN
EBA-2500223,*SESUAI MERIMEN
EBA-2500226,*SESUAI MERIMEN
EBA-2500229,*SESUAI MERIMEN
EBA-2500230,COVER SPION KIRI - K/D/C/P
EBA-2500230,GANTI ALAS LUMPUR DEPAN KIRI - BP/G
EBA-2500230,GANTI KUNCKLE DEPAN  KIRI - BP/G
EBA-2500230,GANTI SHOCK DEPAN KIRI - BP/G
EBA-2500230,PANEL QUARTER RR RH - K/D/C/P
EBA-2500230,COVER SILVER BUMPER BELAKANG - K/D/C/P
EBA-2500230,FENDER FR LH - K/D/C/P
EBA-2500230,GANTI GARNISH DOFF TANGGA KIRI - BP/G
EBA-2500230,GANTI MOULDING DOFF PANEL QUARTER RR RH - BP/G
EBA-2500230,LIST SILVER PINTU DEPAN KANAN - K/D/C/P
EBA-2500230,WHEEL ALIGHMENT / STEL RODA
EBA-2500230,DOOR FR RH - K/D/C/P
EBA-2500230,GANTI GARNISH DOFF PINTU BELAKANG KANAN - BP/G
EBA-2500230,GANTI LOWER ARM KIRI - BP/G
EBA-2500230,GANTI VELG DEPAN KIRI DAN BAN DEPAN KIRI - BP/G
EBA-2500230,REGISTERASI KOMPUTER 
EBA-2500230,COVER SPION KANAN - K/D/C/P
EBA-2500230,GANTI ALAS LUMPUR DEPAN KANAN - BP/G
EBA-2500230,GANTI GEAR POWER STERING - BP/G
EBA-2500230,GANTI SHAFT DEPAN KIRI - BP/G
EBA-2500230,PANEL QUARTER RR LH - K/D/CP
EBA-2500230,BUMPER DEPAN - G/D/C/P
EBA-2500230,DOOR RR RH - K/D/C/P
EBA-2500230,GANTI GARNISH DOFF TANGGA KANAN - BP/G
EBA-2500230,GANTI MOULDING DOFF FR LH - BP/G
EBA-2500230,KAP MESIN - K/D/C/P
EBA-2500230,TUTUP TANGKI - K/D/C/P
EBA-2500230,DOOR FR LH - K/D/C/P
EBA-2500230,GANTI BAR STABILIZWER - BP/G
EBA-2500230,GANTI LINK STABILIZER - BP/G
EBA-2500230,GANTI TIE ROD KIRI - BP/G
EBA-2500230,PINTU BAGASI - K/D/C/P
EBA-2500230,COVER SILVER BUMPER DEPAN - K/D/C/P
EBA-2500230,FENDER FR RH - K/D/C/P
EBA-2500230,GANTI GARNISH PANEL QUARTER RR LH - K/D/C/P
EBA-2500230,GANTI SEBENG BAWAH MESIN PLASTIK - BP/G
EBA-2500230,LIST SILVER PINTU DEPAN KIRI - K/D/C/P
EBA-2500230,BUMPER BELAKANG - G/D/C/P
EBA-2500230,DOOR RR LH - K/D/C/P
EBA-2500230,GANTI GARNISH DOFF PINTU BELAKANG KIRI - BP/G
EBA-2500230,GANTI MOULDING DOFF FENDER FR RH - BP/G
EBA-2500230,GARNISH PINTU BAGASI - K/D/C/P
EBA-2500230,SUPPORT HEADLAMP - K/D/C/P
EBA-2500231,*SESUAI MERIMEN
EBA-2500233,GANTI SPION KANAN - BP/G
EBA-2500235,*SESUAI MERIMEN
EBA-2500239,kaca depan
EBA-2500240,BODY
EBA-2500241,*SESUAI MERIMEN
EBA-2500245,-
EBA-2500246,1.
EBA-2500247,2.
EBA-2500248,3.
EBA-2500259,*SESUAI MERIMEN
EBA-2500262,"LAMP ASSY,SIDE T/SIG,FR LH   BP/G"
EBA-2500268,
EBA-2500269,GANTI KACA DEPAN - BP/G
EBA-2500270,GANTI HEADLAMP DEPAN KIRI - BP/G
EBA-2500277,GANTI HEADLAMP KANAN - BP/G
EBA-2500277,GANTI COVER FOGLAMP KANAN - BP/G
EBA-2500277,GANTI LAMPU SENJA KANAN - BP/G
EBA-2500277,GANTI GARNISH DEPAN KIRI ATAS - BP/G
EBA-2500277,GANTI BRACKET BUMPER KANAN - BP/G
EBA-2500277,GANTI HEADLAMP KIRI - BP/G
EBA-2500277,GANTI GARNISH DEPAN KANAN ATAS - BP/G
EBA-2500277,GANTI LAMPU STOP BELAKANG KIRI - BP/G
EBA-2500277,GANTI ALAS LUMPUR DEPAN KANAN - BP/G
EBA-2500278,*SESUAI MERIMEN
EBA-2500279,*SESUAI MERIMEN
EBA-2500283,kaca depan ganti
EBA-2500286,*SESUAI MERIMEN
EBA-2500287,COVER BUMPER FR - K/D/C/P
EBA-2500288,*SESUAI MERIMEN
EBA-2500289,*SESUAI MERIMEN
EBA-2500290,PANEL QTR RR LH (R)
EBA-2500290,BUMPER RR (R)
EBA-2500291,-
EBA-2500292,GANTI SPION RH
EBA-2500295,COVER BUMPER DEPAN - K/D/C/P
EBA-2500296,*SESUAI MERIMEN
EBA-2500301,*SESUAI MERIMEN
EBA-2500304,KACA DEPAN 
EBA-2500310,"GANTI LAMP ASSY,TAIL,RH - BP/G"
EBA-2500310,"GANTI LAMP ASSY,COMBINATION,RR RH - BP/G"
EBA-2500318,Spoiler Bumper RR hitam
EBA-2500318,Bumper RR
EBA-2500323,*SESUAI MERIMEN
EBA-2500324,*SESUAI MERIMEN
EBA-2500327,CAT GRILLE FR
EBA-2500328,*SESUAI MERIMEN
EBA-2500329,*SESUAI MERIMEN
EBA-2500331,"GARNISH,RR DOOR,LH   BP/G"
EBA-2500333,-
EBA-2500334,-
EBA-2500335,*SESUAI MERIMEN
EBA-2500341, GRILLE RADIATOR - K/D/C/P
EBA-2500347,*SESUAI MERIMEN
EBA-2500348, KAP MESIN - K/D/C/P
EBA-2500348,GRILLE RADIATOR - K/D/C/P
EBA-2500352,FENDER FR RH - K/D/C/P
EBA-2500352,BUMPER DEPAN - K/D/C/P
EBA-2500355,GANTI GRILLE RADIATOR - BP/G
EBA-2500355,KAP MESIN - G/D/C/P
EBA-2500355,GANTI GARNISH CHROME KANAN BAWAH - BP/G
EBA-2500355,GANTI HEADLAMP KANAN - BP.G
EBA-2500355,COVER SILVER BUMPER DEPAN - K/D/C/P
EBA-2500356,*SESUAI MERIMEN
EBA-2500358,-
EBA-2500360,KACA DEPAN
EBA-2500361,GANTI SPION KIRI - BP/G
EBA-2500362,COVER SILVER BUMPER DEPAN - K/D/C/P
EBA-2500362,LIST SILVER PINTU BELAKANG KANAN - K/D/C/P
EBA-2500362,BUMPER BELAKANG - G/D/C/P
EBA-2500362,GANTI MOULDING DOFF FENDER FR RH - BP/G
EBA-2500362,PINTU BELAKANG KIRI - K/D/C/P
EBA-2500362,GANTI BRACKET BUMPER BELAKANG - BP/G
EBA-2500362,PANEL QUARTER RR LH - K/D/C/P
EBA-2500362,COVER SILVER BUMPER BELAKANG - K/D/C/P
EBA-2500362,GRILLE RADIATOR - K/D/C/P
EBA-2500362,GANTI LAMPU STOP BELAKANG KIRI - BP/G
EBA-2500362,PINTU BELAKANG KANAN - K/D/C/P
EBA-2500362,COVER SPION KANAN - K/D/C/P
EBA-2500362,LIST SILVER PINTU DEPAN KANAN - K/D/C/P
EBA-2500362,BUMPER DEPAN - G/D/C/P
EBA-2500362,GARNISH PINTU BAGASI - K/D/C/P
EBA-2500362,PINTU DEPAN KANAN - K/D/C/P
EBA-2500362,GANTI GARNISH DOFF PINTU BELAKANG KIRI - BP/G
EBA-2500362,PANEL QUARTER RR RH - K/D/C/P
EBA-2500364,DOOR BACK TAILGATE
EBA-2500366,GANTI GARNISH CHROME KIRI BAWAH
EBA-2500370,COVER BUMPER DEPAN - K/D/C/P
EBA-2500373,*SESUAI MERIMEN
EBA-2500374,GANTI MOULDING DOFF PANEL QUARTER RR LH - BP/G
EBA-2500374,GANTI GARNISH DOFF PINTU PINTU DEPAN KIR - BP/G
EBA-2500374,SUPPORT HEADLAMP - K/D/C/P
EBA-2500374,COVER SILVER BUMPER DEPAN - K/D/C/P
EBA-2500374,LIST ILVER TANGGA KIRI - BP/G
EBA-2500374,GANTI MOULDING DOFF FENDER FR LH - BP/G
EBA-2500374,GANTI GARNISH DOFF PINTU BELAKANG KIRI - BP/G
EBA-2500374,PINTU DEPAN KIRI - K/D/C/P
EBA-2500374,BUMPER FR - G/D/C/P
EBA-2500374,GANTI VELG DEPAN KIRI - BP/G
EBA-2500374,GANTI GARNISH DOFF TANGGA KIRI - BP/G
EBA-2500374,GANTI ALAS LUMPUR DEPAN KIRI - BP/G
EBA-2500374,PINTU BELAKANG KIRI - K/D/C/P
EBA-2500375,GANTI COVER BUMPER FR 
EBA-2500375,*SESUAI MERIMEN
EBA-2500377,*SESUAI MERIMEN
EBA-2500378,*SESUAI MERIMEN
EBA-2500380,-
EBA-2500381,*SESUAI MERIMEN
EBA-2500382,pesan spion kanan
EBA-2500383,*SESUAI MERIMEN
EBA-2500384,*SESUAI MERIMEN
EBA-2500386,*SESUAI MERIMEN
EBA-2500387,SESUAI MERIMEN
EBA-2500388,-
EBA-2500389,PESAN PART
EBA-2500391,LIST SILVER PINTU BELAKANG KIRI - K/D/C/P
EBA-2500395,GRILE RADIATOR - K/D/C/P
EBA-2500398,GANTI LAMPU REFELCTOR - BP/G
EBA-2500398,GANTI LAMPU STOP BELAKANG KIRI - BP/G
EBA-2500400,*SESUAI MERIMEN
