wo_id,lab_id,lab_name
EUR-2501530,PB2213,ATF (A/T OIL) W/O OIL FILTER (X)
EUR-2501530,PB4203A,CUCI BODY (FREE)
EUR-2501531,PB3501,BRAKE FR & RR (ALL) (V/C/A)
EUR-2501531,PB4203A,CUCI BODY (FREE)
EUR-2501532,PB4203B,ASC
EUR-2501532,WSY 2,Wiring System 2 Jam
EUR-2501533,PB1109,FUEL FILTER (ALL) (C/X)
EUR-2501533,PB4203A,CUCI BODY (FREE)
EUR-2501534,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501534,PB3505,BRAKE RR 2 SIDES (V/C/A)
EUR-2501534,PB4203A,CUCI BODY (FREE)
EUR-2501535,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501535,PB4203B,ASC
EUR-2501535,PB9101,DIESEL PURGING (X)
EUR-2501536,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501536,PB4203A,CUCI BODY (FREE)
EUR-2501537,PB4203A,CUCI BODY (FREE)
EUR-2501537,PBZ06,OTHERS 0.6
EUR-2501538,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501538,PB4203A,CUCI BODY (FREE)
EUR-2501538,PBZ05,OTHERS 0.5
EUR-2501539,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501539,PB4203A,CUCI BODY (FREE)
EUR-2501540,PB4203A,CUCI BODY (FREE)
EUR-2501541,PB3501,BRAKE FR & RR (ALL) (V/C/A)
EUR-2501541,PB4203A,CUCI BODY (FREE)
EUR-2501542,PB4203B,ASC
EUR-2501542,PBZ20,OTHERS 2
EUR-2501543,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501543,PB4203B,ASC
EUR-2501544,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501544,PB4203B,ASC
EUR-2501545,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501545,PB4203B,ASC
EUR-2501546,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501546,PB4203B,ASC
EUR-2501547,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501547,PB4203B,ASC
EUR-2501548,LC-DMS-1,GENERAL CHECK UP (V/C/A)
EUR-2501548,PB4203B,ASC
EUR-2501549,PB4203B,ASC
EUR-2501549,PB5401,BATTERY (X)
EUR-2501550,PB4203B,ASC
EUR-2501551,PB1101,ENGINE TUNE UP (V/C/A)
EUR-2501551,PB3501,BRAKE FR & RR (ALL) (V/C/A)
EUR-2501551,PB4203B,ASC
